claim,reason,count_rows,labels_observed
ozzy osbourne was inducted into the museum of modern art.,quarantined_conflicting_labels,0,
ellen degeneres is a singer.,quarantined_conflicting_labels,0,
margot kidder performed on an adult television series.,quarantined_conflicting_labels,0,
the united kingdom is a member of no organizations.,quarantined_conflicting_labels,0,
anne frank's full last name was annelies.,quarantined_conflicting_labels,0,
ron perlman is an american citizen.,quarantined_conflicting_labels,0,
judd apatow is canadian.,quarantined_conflicting_labels,0,
minos fathered a child.,quarantined_conflicting_labels,0,
amaze entertainment was a company.,quarantined_conflicting_labels,0,
pamela anderson is known for her role on full house.,quarantined_conflicting_labels,0,
janet varney is a german.,quarantined_conflicting_labels,0,
there are popular culture categories.,quarantined_conflicting_labels,0,
vitamin b12 is not produced by multi-cellular organisms.,quarantined_conflicting_labels,0,
the blue-ringed octopus is a terrestrial animal.,quarantined_conflicting_labels,0,
ethiopia is a state.,quarantined_conflicting_labels,0,
"celeste and jesse forever stars rashida jones, andy samberg, and will mccormack.",quarantined_conflicting_labels,0,
lgbt is an acronym.,quarantined_conflicting_labels,0,
elephants have been featured in status reports.,quarantined_conflicting_labels,0,
up all night is one direction's debut album.,quarantined_conflicting_labels,0,
olivia wilde is a dancer.,quarantined_conflicting_labels,0,
ayutthaya refused all foreigners.,quarantined_conflicting_labels,0,
svitavy is in britain.,quarantined_conflicting_labels,0,
adrian molina is a songwriter.,quarantined_conflicting_labels,0,
followers of asceticism pursue materialism.,quarantined_conflicting_labels,0,
"graciosa, canary islands is across from the peninsula el río.",quarantined_conflicting_labels,0,
adele is an actress.,quarantined_conflicting_labels,0,
live your life was released in britain.,quarantined_conflicting_labels,0,
escape from planet earth is an american film.,quarantined_conflicting_labels,0,
germans emigrated to iceland.,quarantined_conflicting_labels,0,
patty hearst was kidnapped.,quarantined_conflicting_labels,0,
hungary is surrounded by water.,quarantined_conflicting_labels,0,
scanline vfx created the train crash sequence in the avengers.,quarantined_conflicting_labels,0,
paul wesley appeared in guiding light.,quarantined_conflicting_labels,0,
calvin harris is an activist.,quarantined_conflicting_labels,0,
"penny dreadful premiered on may 11, 2014.",quarantined_conflicting_labels,0,
veronika decides to die is a book.,quarantined_conflicting_labels,0,
halle berry was in a romantic drama movie.,quarantined_conflicting_labels,0,
arnold schwarzenegger's breakthrough film as an actor was the sword-and-sorcery epic conan the barbarian.,quarantined_conflicting_labels,0,
julie walters was in series.,quarantined_conflicting_labels,0,
quinoa is in the amaryllidaceae family.,quarantined_conflicting_labels,0,
francois de belleforest translated the works of elena ferrante.,quarantined_conflicting_labels,0,
gift of the night fury only stars the voices of actors and actresses born in october.,quarantined_conflicting_labels,0,
"red headed stranger contained the movie ""time of the preacher.""",quarantined_conflicting_labels,0,
clarence thomas was exclusively self-educated.,quarantined_conflicting_labels,0,
empress matilda moved to england as a child.,quarantined_conflicting_labels,0,
giacomo casanova was a person.,quarantined_conflicting_labels,0,
keith urban is married.,quarantined_conflicting_labels,0,
howard stern developed his on show from 1976 to 1982.,quarantined_conflicting_labels,0,
becoming jane is a book.,quarantined_conflicting_labels,0,
history of art includes various subjects.,quarantined_conflicting_labels,0,
the boys from brazil features a corpse.,quarantined_conflicting_labels,0,
robert browning was a film director.,quarantined_conflicting_labels,0,
international relations includes many subject matters.,quarantined_conflicting_labels,0,
dragon is derived from a language.,quarantined_conflicting_labels,0,
michael jordan was a truck driver.,quarantined_conflicting_labels,0,
sriti jha retired from acting in 2010.,quarantined_conflicting_labels,0,
"the uk is a member of the commonwealth of nations, the council of europe, the g7 finance ministers, the g7 forum, the g20, nato, the organisation for economic co-operation and development (oecd), and the world trade organization (wto).",quarantined_conflicting_labels,0,
the walt disney company owns nickelodeon.,quarantined_conflicting_labels,0,
water only occurs artificially.,quarantined_conflicting_labels,0,
