claim_id,claim,evidence,label,dataset,source,metadata
scifact_train_0,0-dimensional biomaterials lack inductive properties.,,NOT_ENOUGH_INFO,scifact,Docs: 31715818,"{""original_id"": 0, ""cited_doc_ids"": [31715818], ""is_grounded"": false}"
scifact_train_2_doc13734012_rat0,1 in 5 million in UK have abnormal PrP positivity.,"RESULTS Of the 32,441 appendix samples 16 were positive for abnormal PrP, indicating an overall prevalence of 493 per million population (95% confidence interval 282 to 801 per million).",REFUTES,scifact,PubMed_13734012: Prevalent abnormal prion protein in human appendixes after bovine spongiform encephalopathy epizootic: large scale survey,"{""original_id"": 2, ""doc_id"": 13734012, ""doc_title"": ""Prevalent abnormal prion protein in human appendixes after bovine spongiform encephalopathy epizootic: large scale survey"", ""sentence_indices"": [4], ""is_grounded"": true}"
scifact_train_4,1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,,NOT_ENOUGH_INFO,scifact,Docs: 22942787,"{""original_id"": 4, ""cited_doc_ids"": [22942787], ""is_grounded"": false}"
scifact_train_6,10% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,,NOT_ENOUGH_INFO,scifact,Docs: 2613775,"{""original_id"": 6, ""cited_doc_ids"": [2613775], ""is_grounded"": false}"
scifact_train_9_doc44265107_rat0,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Policies requiring discontinuation of methadone in 32% of all programs contradict the evidence base for efficacy of long-term replacement therapies and potentially result in relapse of previously stable patients.,SUPPORTS,scifact,PubMed_44265107: Liver transplantation and opioid dependence.,"{""original_id"": 9, ""doc_id"": 44265107, ""doc_title"": ""Liver transplantation and opioid dependence."", ""sentence_indices"": [15], ""is_grounded"": true}"
scifact_train_10,4-PBA treatment decreases endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,,NOT_ENOUGH_INFO,scifact,Docs: 32587939,"{""original_id"": 10, ""cited_doc_ids"": [32587939], ""is_grounded"": false}"
scifact_train_11,4-PBA treatment raises endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,,NOT_ENOUGH_INFO,scifact,Docs: 32587939,"{""original_id"": 11, ""cited_doc_ids"": [32587939], ""is_grounded"": false}"
scifact_train_12_doc33409100_rat0,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,RESULTS Mean baseline homocysteine level was 24.0 micromol/L in the vitamin group and 24.2 micromol/L in the placebo group.,SUPPORTS,scifact,PubMed_33409100: Effect of homocysteine lowering on mortality and vascular disease in advanced chronic kidney disease and end-stage renal disease: a randomized controlled trial.,"{""original_id"": 12, ""doc_id"": 33409100, ""doc_title"": ""Effect of homocysteine lowering on mortality and vascular disease in advanced chronic kidney disease and end-stage renal disease: a randomized controlled trial."", ""sentence_indices"": [8], ""is_grounded"": true}"
scifact_train_12_doc33409100_rat1,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,CONCLUSION Treatment with high doses of folic acid and B vitamins did not improve survival or reduce the incidence of vascular disease in patients with advanced chronic kidney disease or end-stage renal disease.,SUPPORTS,scifact,PubMed_33409100: Effect of homocysteine lowering on mortality and vascular disease in advanced chronic kidney disease and end-stage renal disease: a randomized controlled trial.,"{""original_id"": 12, ""doc_id"": 33409100, ""doc_title"": ""Effect of homocysteine lowering on mortality and vascular disease in advanced chronic kidney disease and end-stage renal disease: a randomized controlled trial."", ""sentence_indices"": [12], ""is_grounded"": true}"
scifact_train_14,5'-nucleotidase metabolizes 6MP.,,NOT_ENOUGH_INFO,scifact,Docs: 641786,"{""original_id"": 14, ""cited_doc_ids"": [641786], ""is_grounded"": false}"
