claim_id,claim,evidence,label,document_id,dataset
scifact_0,0-dimensional biomaterials lack inductive properties.,"Nanotechnologies are emerging platforms that could be useful in measuring, understanding, and manipulating stem cells.",0,31715818,scifact
scifact_0,0-dimensional biomaterials lack inductive properties.,"Examples include magnetic nanoparticles and quantum dots for stem cell labeling and in vivo tracking; nanoparticles, carbon nanotubes, and polyplexes for the intracellular delivery of genes/oligonucleotides and protein/peptides; and engineered nanometer-scale scaffolds for stem cell differentiation and transplantation.",0,31715818,scifact
scifact_0,0-dimensional biomaterials lack inductive properties.,"This review examines the use of nanotechnologies for stem cell tracking, differentiation, and transplantation.",0,31715818,scifact
scifact_0,0-dimensional biomaterials lack inductive properties.,We further discuss their utility and the potential concerns regarding their cytotoxicity.,0,31715818,scifact
scifact_2,1 in 5 million in UK have abnormal PrP positivity.,"RESULTS Of the 32,441 appendix samples 16 were positive for abnormal PrP, indicating an overall prevalence of 493 per million population (95% confidence interval 282 to 801 per million).",1,13734012,scifact
scifact_2,1 in 5 million in UK have abnormal PrP positivity.,"OBJECTIVES To carry out a further survey of archived appendix samples to understand better the differences between existing estimates of the prevalence of subclinical infection with prions after the bovine spongiform encephalopathy epizootic and to see whether a broader birth cohort was affected, and to understand better the implications for the management of blood and blood products and for the handling of surgical instruments.",0,13734012,scifact
scifact_2,1 in 5 million in UK have abnormal PrP positivity.,DESIGN Irreversibly unlinked and anonymised large scale survey of archived appendix samples.,0,13734012,scifact
scifact_2,1 in 5 million in UK have abnormal PrP positivity.,"SETTING Archived appendix samples from the pathology departments of 41 UK hospitals participating in the earlier survey, and additional hospitals in regions with lower levels of participation in that survey.",0,13734012,scifact
scifact_2,1 in 5 million in UK have abnormal PrP positivity.,"SAMPLE 32,441 archived appendix samples fixed in formalin and embedded in paraffin and tested for the presence of abnormal prion protein (PrP).",0,13734012,scifact
scifact_2,1 in 5 million in UK have abnormal PrP positivity.,"The prevalence in those born in 1941-60 (733 per million, 269 to 1596 per million) did not differ significantly from those born between 1961 and 1985 (412 per million, 198 to 758 per million) and was similar in both sexes and across the three broad geographical areas sampled.",0,13734012,scifact
scifact_2,1 in 5 million in UK have abnormal PrP positivity.,"Genetic testing of the positive specimens for the genotype at PRNP codon 129 revealed a high proportion that were valine homozygous compared with the frequency in the normal population, and in stark contrast with confirmed clinical cases of vCJD, all of which were methionine homozygous at PRNP codon 129.",0,13734012,scifact
scifact_2,1 in 5 million in UK have abnormal PrP positivity.,"CONCLUSIONS This study corroborates previous studies and suggests a high prevalence of infection with abnormal PrP, indicating vCJD carrier status in the population compared with the 177 vCJD cases to date.",0,13734012,scifact
scifact_2,1 in 5 million in UK have abnormal PrP positivity.,These findings have important implications for the management of blood and blood products and for the handling of surgical instruments.,0,13734012,scifact
scifact_4,1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,"CONTEXT Medicare's reimbursement policy was changed in 1998 to provide coverage for screening colonoscopies for patients with increased colon cancer risk, and expanded further in 2001 to cover screening colonoscopies for all individuals.",0,22942787,scifact
scifact_4,1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,OBJECTIVE To determine whether the Medicare reimbursement policy changes were associated with an increase in either colonoscopy use or early stage colon cancer diagnosis.,0,22942787,scifact
scifact_4,1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,"DESIGN, SETTING, AND PARTICIPANTS Patients in the Surveillance, Epidemiology, and End Results Medicare linked database who were 67 years of age and older and had a primary diagnosis of colon cancer during 1992-2002, as well as a group of Medicare beneficiaries who resided in Surveillance, Epidemiology, and End Results areas but who were not diagnosed with cancer.",0,22942787,scifact
scifact_4,1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,MAIN OUTCOME MEASURES Trends in colonoscopy and sigmoidoscopy use among Medicare beneficiaries without cancer were assessed using multivariate Poisson regression.,0,22942787,scifact
scifact_4,1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,"Among the patients with cancer, stage was classified as early (stage I) vs all other (stages II-IV).",0,22942787,scifact
scifact_4,1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,"Time was categorized as period 1 (no screening coverage, 1992-1997), period 2 (limited coverage, January 1998-June 2001), and period 3 (universal coverage, July 2001-December 2002).",0,22942787,scifact
scifact_4,1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,A multivariate logistic regression (outcome = early stage) was used to assess temporal trends in stage at diagnosis; an interaction term between tumor site and time was included.,0,22942787,scifact
scifact_4,1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,"RESULTS Colonoscopy use increased from an average rate of 285/100,000 per quarter in period 1 to 889 and 1919/100,000 per quarter in periods 2 (P<.001) and 3 (P vs 2<.001), respectively.",0,22942787,scifact
scifact_4,1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,"During the study period, 44,924 eligible patients were diagnosed with colorectal cancer.",0,22942787,scifact
scifact_4,1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,The proportion of patients diagnosed at an early stage increased from 22.5% in period 1 to 25.5% in period 2 and 26.3% in period 3 (P<.001 for each pairwise comparison).,0,22942787,scifact
scifact_4,1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,"The changes in Medicare coverage were strongly associated with early stage at diagnosis for patients with proximal colon lesions (adjusted relative risk period 2 vs 1, 1.19; 95% confidence interval, 1.13-1.26; adjusted relative risk period 3 vs 2, 1.10; 95% confidence interval, 1.02-1.17) but weakly associated, if at all, for patients with distal colon lesions (adjusted relative risk period 2 vs 1, 1.07; 95% confidence interval, 1.01-1.13; adjusted relative risk period 3 vs 2, 0.97; 95% confidence interval, 0.90-1.05).",0,22942787,scifact
scifact_4,1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,"CONCLUSIONS Expansion of Medicare reimbursement to cover colon cancer screening was associated with an increased use of colonoscopy for Medicare beneficiaries, and for those who were diagnosed with colon cancer, an increased probability of being diagnosed at an early stage.",0,22942787,scifact
scifact_4,1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,The selective effect of the coverage change on proximal colon lesions suggests that increased use of whole-colon screening modalities such as colonoscopy may have played a pivotal role.,0,22942787,scifact
scifact_6,10% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,"Despite declines in prevalence during the past two decades, sudden infant death syndrome (SIDS) continues to be the leading cause of death for infants aged between 1 month and 1 year in developed countries.",0,2613775,scifact
scifact_6,10% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,"Behavioural risk factors identified in epidemiological studies include prone and side positions for infant sleep, smoke exposure, soft bedding and sleep surfaces, and overheating.",0,2613775,scifact
scifact_6,10% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,Evidence also suggests that pacifier use at sleep time and room sharing without bed sharing are associated with decreased risk of SIDS.,0,2613775,scifact
scifact_6,10% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,"Although the cause of SIDS is unknown, immature cardiorespiratory autonomic control and failure of arousal responsiveness from sleep are important factors.",0,2613775,scifact
scifact_6,10% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,Gene polymorphisms relating to serotonin transport and autonomic nervous system development might make affected infants more vulnerable to SIDS.,0,2613775,scifact
scifact_6,10% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,Campaigns for risk reduction have helped to reduce SIDS incidence by 50-90%.,0,2613775,scifact
