id,verifiable,label,claim,evidence,claim_clean,claim_norm
214861,VERIFIABLE,SUPPORTS,"History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.","[[[255136, 254645, 'History_of_art', 2]]]","History of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts.","history of art includes architecture, dance, sculpture, music, painting, poetry literature, theatre, narrative, film, photography and graphic arts."
199009,VERIFIABLE,REFUTES,International Relations only includes the entertainment industry.,"[[[233987, 236887, 'International_relations', 0]], [[233987, 236888, 'International_relations', 1]], [[233987, 236889, 'International_relations', 2]], [[233987, 236890, 'International_relations', 9]], [[233987, 236891, 'International_relations', 10]]]",International Relations only includes the entertainment industry.,international relations only includes the entertainment industry.
108999,NOT VERIFIABLE,NOT ENOUGH INFO,"Today, elephants are rewarded for entertainment in circuses.","[[[127870, None, None, None]]]","Today, elephants are rewarded for entertainment in circuses.","today, elephants are rewarded for entertainment in circuses."
188166,VERIFIABLE,SUPPORTS,Escape from Planet Earth is an American film.,"[[[219580, 225560, 'Escape_from_Planet_Earth', 0]], [[219581, 225561, 'Escape_from_Planet_Earth', 0]]]",Escape from Planet Earth is an American film.,escape from planet earth is an american film.
226368,VERIFIABLE,REFUTES,Gift of the Night Fury only stars the voices of actors and actresses born in October.,"[[[269885, 266059, 'Gift_of_the_Night_Fury', 6], [269885, 266059, 'Jay_Baruchel', 0]]]",Gift of the Night Fury only stars the voices of actors and actresses born in October.,gift of the night fury only stars the voices of actors and actresses born in october.
81758,VERIFIABLE,REFUTES,Doctor Who was written by the Ancient Greeks.,"[[[98830, 111915, 'Doctor_Who_-LRB-series_10-RRB-', 1], [98830, 111915, 'Steven_Moffat', 0]], [[98830, 111916, 'Doctor_Who_-LRB-series_10-RRB-', 2]]]",Doctor Who was written by the Ancient Greeks.,doctor who was written by the ancient greeks.
46354,VERIFIABLE,REFUTES,Rogue appears in Canadian comic books.,"[[[62708, 73365, 'Rogue_-LRB-comics-RRB-', 0]]]",Rogue appears in Canadian comic books.,rogue appears in canadian comic books.
186135,NOT VERIFIABLE,NOT ENOUGH INFO,There are zero bodies of water in Ontario.,"[[[217057, None, None, None]]]",There are zero bodies of water in Ontario.,there are zero bodies of water in ontario.
7068,VERIFIABLE,SUPPORTS,In the Heart of the Sea was released in cinemas.,"[[[23983, 29689, 'In_the_Heart_of_the_Sea_-LRB-film-RRB-', 5]]]",In the Heart of the Sea was released in cinemas.,in the heart of the sea was released in cinemas.
83754,NOT VERIFIABLE,NOT ENOUGH INFO,Water only occurs artificially.,"[[[100783, None, None, None]]]",Water only occurs artificially.,water only occurs artificially.
179647,NOT VERIFIABLE,NOT ENOUGH INFO,Michael Giacchino composed the score for Dunkirk.,"[[[208493, None, None, None]]]",Michael Giacchino composed the score for Dunkirk.,michael giacchino composed the score for dunkirk.
65292,VERIFIABLE,SUPPORTS,The Catalyst is a rock song.,"[[[81833, 93599, 'The_Catalyst', 0]], [[81833, 93600, 'The_Catalyst', 1], [81833, 93600, 'A_Thousand_Suns', 14], [81833, 93600, 'A_Thousand_Suns', 15], [81833, 93600, 'A_Thousand_Suns', 0]], [[81833, 93601, 'The_Catalyst', 11]]]",The Catalyst is a rock song.,the catalyst is a rock song.
199127,NOT VERIFIABLE,NOT ENOUGH INFO,International Relations includes the U.N.,"[[[234122, None, None, None]]]",International Relations includes the U.N.,international relations includes the u.n.
228874,NOT VERIFIABLE,NOT ENOUGH INFO,Drama school offers a Ph.D.,"[[[273079, None, None, None]]]",Drama school offers a Ph.D.,drama school offers a ph.d.
209517,VERIFIABLE,SUPPORTS,Sleep can be disrupted by medical conditions.,"[[[248057, 248318, 'Sleep', 13]]]",Sleep can be disrupted by medical conditions.,sleep can be disrupted by medical conditions.
54144,VERIFIABLE,SUPPORTS,Peter Cetera was an artist.,"[[[70455, 81323, 'Peter_Cetera', 0]], [[70455, 81324, 'Peter_Cetera', 1]]]",Peter Cetera was an artist.,peter cetera was an artist.
77263,VERIFIABLE,REFUTES,Ethiopia is a state.,"[[[94302, 107299, 'Ethiopia', 0]]]",Ethiopia is a state.,ethiopia is a state.
